"7d. U.S. Regional Electricity Generation, Electric Power Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/outlooks/steo/data/browser/#/?v=22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Oct 06 2023 21:29:10 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remove,,map,linechart,units,source key,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"7d. U.S. Regional Electricity Generation, Electric Power Sector","7d. U.S. Regional Electricity Generation, Electric Power Sector",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,United States,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural gas,Electric power sector generation by natural gas: U.S. total,1,1,billion kilowatthours,NGEPGEN_US,309.49,317.77,334.27,342.22,385.69,419.18,378.76,399.6,449.29,473,517.98,554.94,607.68,567.3,627.17,683.83,734.42,814.75,802.37,841.01,901.39,926.29,1132.79,1028.95,1033.2,1238.84,1280.34,1198.01,1368.53,1479.86,1522.3,1476.6,1586.17,1703.06,1653.12
Coal,Electric power sector generation by coal: U.S. total,1,1,billion kilowatthours,CLEPGEN_US,1572.11,1568.85,1597.71,1665.46,1666.28,1686.06,1771.97,1820.76,1850.19,1858.62,1943.11,1882.83,1910.61,1952.71,1957.19,1992.05,1969.74,1998.39,1968.84,1741.12,1827.74,1717.89,1500.56,1567.72,1568.77,1340.99,1229.66,1197.84,1142.17,958.73,767.7,892.44,823.41,636.65,605.38
Nuclear,Electric power sector generation by nuclear: U.S. total,1,1,billion kilowatthours,NUEPGEN_US,576.86,612.57,618.78,610.29,640.44,673.4,674.73,628.64,673.7,728.25,753.89,768.83,780.06,763.73,788.53,781.99,787.22,806.42,806.21,798.85,806.97,790.2,769.33,789.02,797.17,797.18,805.69,804.95,807.08,809.41,789.88,779.64,771.54,776.99,794.73
Renewable energy sources,Electric power sector generation by renewables: U.S. total,1,1,billion kilowatthours,RTEPGEN_US,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,397.34,481.42,461.94,486.52,505.35,510.94,576.04,653.16,673.74,696.66,752,785.04,883.1,889.63,1016.44
Conventional hydropower,Electric power sector generation by conventional hydropower: U.S. total,1,1,billion kilowatthours,HVEPGEN_US,289.75,286.02,250.02,277.52,254,305.41,341.16,350.65,317.87,314.66,271.34,213.75,260.49,271.51,265.06,267.04,286.25,245.84,253.1,271.51,258.45,317.53,273.86,265.06,258.05,247.64,266.33,298.71,291.15,286.65,284.06,250.39,260.84,244.94,280.52
Wind,Electric power sector generation by wind: U.S. total,1,1,billion kilowatthours,WNEPGEN_US,2.79,2.95,2.89,3.01,3.45,3.16,3.23,3.29,3.03,4.49,5.59,6.74,10.35,11.19,14.14,17.81,26.59,34.45,55.36,73.89,94.64,120.12,140.75,167.74,181.5,190.55,226.79,254.07,272.4,295.6,337.15,377.92,434.51,437.13,460.7
Solar ,Electric power sector generation by solar: U.S. total,1,1,billion kilowatthours,SOEPGEN_US,0.37,0.47,0.4,0.46,0.49,0.5,0.52,0.51,0.5,0.5,0.49,0.54,0.55,0.53,0.58,0.55,0.51,0.61,0.86,0.89,1.21,1.73,4.16,8.72,17.3,24.46,35.5,52.72,63.25,71.26,88.51,114.52,144.61,167.69,235.17
Geothermal,Electric power sector generation by geothermal: U.S. total,1,1,billion kilowatthours,GEEPGEN_US,15.43,15.97,16.14,16.79,15.54,13.38,14.33,14.73,14.77,14.83,14.09,13.74,14.49,14.42,14.81,14.69,14.57,14.64,14.84,15.01,15.22,15.32,15.56,15.77,15.88,15.92,15.83,15.93,15.93,15.03,15.44,15.47,16.46,15.97,15.25
Waste biomass,Electric power sector generation by waste biomass: U.S. total,1,1,billion kilowatthours,OWEPGEN_US,11.5,13.85,15.92,16.22,16.98,17.99,17.82,18.48,19.23,19.49,20.31,12.94,13.15,13.81,13.06,13.03,13.93,14.29,15.38,15.95,16.38,15.99,16.56,16.92,17.6,17.82,18.18,18.08,17.62,16.09,15.63,14.83,14.06,12.86,13.04
Wood biomass,Electric power sector generation by wood biomass: U.S. total,1,1,billion kilowatthours,WWEPGEN_US,7.03,7.74,8.49,9.15,9.23,7.6,8.39,8.68,8.61,8.96,8.92,8.29,9.01,9.53,9.74,10.57,10.34,10.71,10.64,10.74,11.45,10.73,11.05,12.3,15.03,14.56,13.42,13.64,13.38,12.02,11.21,11.9,12.62,11.03,11.77
Pumped storage hydropower,Electric power sector generation by pumped storage hydropower: U.S. total,1,1,billion kilowatthours,HPEPGEN_US,-3.51,-4.54,-4.18,-4.04,-3.38,-2.73,-3.09,-4.04,-4.47,-6.1,-5.54,-8.82,-8.74,-8.54,-8.49,-6.56,-6.56,-6.9,-6.29,-4.63,-5.5,-6.42,-4.95,-4.68,-6.17,-5.09,-6.69,-6.49,-5.9,-5.26,-5.32,-5.11,-6.03,-6.09,-6.54
Petroleum ,Electric power sector generation by petroleum: U.S. total,1,1,billion kilowatthours,PAEPGEN_US,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34.68,28.2,20.07,24.51,28.04,26.51,22.71,20.04,23.93,17.22,16.33,18.31,22.43,16.99,18.51
